scenario,level,mean_effect,std_effect,p90_p10_gap,gini_effect,pct_negative
market_infrastructure,region,-0.09679905577037361,0.007708802059802264,0.016061957423863155,-0.04099912714188706,1.0
baseline,region,0.0,0.0,0.0,0.0,1.0
land_tenure_reform,region,0.0,0.0,0.0,0.0,1.0
education_investment,region,0.0,0.0,0.0,0.0,1.0
extension_reform,region,0.14362241372002996,0.014072757815964839,0.03152343730860353,0.04829568639986202,0.0
full_transformation_package,region,0.1314480711159502,0.015253235682927533,0.03395144001844003,0.05840530852999834,0.0
credit_reform,region,0.0846247131662939,0.012456180483250817,0.028738858346396307,0.07665269014279975,0.0
