scenario,level,mean_effect,std_effect,p90_p10_gap,gini_effect,pct_negative
credit_reform,woreda,-0.022272898490451838,0.0038590780796160904,0.009184916556496194,-0.09234549859784931,1.0
baseline,woreda,0.0,0.0,0.0,0.0,1.0
education_investment,woreda,0.0,0.0,0.0,0.0,1.0
land_tenure_reform,woreda,0.0,0.0,0.0,0.0,1.0
market_infrastructure,woreda,0.009268318025848942,0.0018333062264205811,0.0026862447481822427,0.08681677292362089,0.0
extension_reform,woreda,0.10981556851210883,0.022740879660935662,0.05156158455951512,0.1025410014057437,0.0
full_transformation_package,woreda,0.09681098804750592,0.022537221092725997,0.05321628284847463,0.11920362165367634,0.0
