scenario,level,mean_effect,std_effect,p90_p10_gap,gini_effect,pct_negative
credit_reform,zone,-0.014708671484232287,0.002333842879627736,0.006170984338938581,-0.08437361180249237,1.0
baseline,zone,0.0,0.0,0.0,0.0,1.0
education_investment,zone,0.0,0.0,0.0,0.0,1.0
land_tenure_reform,zone,0.0,0.0,0.0,0.0,1.0
market_infrastructure,zone,0.030799505582417366,0.00598636415393511,0.00881548425803436,0.08017789177723997,0.0
extension_reform,zone,0.07898792050578451,0.013998687420293579,0.024860995368823635,0.08186508381095525,0.0
full_transformation_package,zone,0.09507875460396963,0.015591762783816344,0.02992330996793781,0.08189180345057089,0.0
